observation.state,action,observation.drive.linear,observation.drive.angular,timestamp,frame_index,episode_index,index,task_index,topic
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.3104465,871,0,871,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.3607004,872,0,872,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.4112353,873,0,873,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.4615605,874,0,874,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.5120716,875,0,875,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.5625134,876,0,876,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.6128056,877,0,877,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.6631958,878,0,878,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.7137334,879,0,879,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.7641377,880,0,880,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.8144433,881,0,881,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.8649142,882,0,882,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.9152822,883,0,883,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641528.9662614,884,0,884,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.0163689,885,0,885,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.0665731,886,0,886,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.11712,887,0,887,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.1674657,888,0,888,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.2178607,889,0,889,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.2682087,890,0,890,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.3186386,891,0,891,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.3691542,892,0,892,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.4196758,893,0,893,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.4699132,894,0,894,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.5202384,895,0,895,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.570745,896,0,896,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.6210961,897,0,897,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.6714962,898,0,898,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.721914,899,0,899,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.7724106,900,0,900,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.8227937,901,0,901,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.8732965,902,0,902,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.923572,903,0,903,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641529.9740071,904,0,904,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.0246418,905,0,905,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.074994,906,0,906,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.1253812,907,0,907,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.1757371,908,0,908,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.226246,909,0,909,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.2766871,910,0,910,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.3270283,911,0,911,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.3774858,912,0,912,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.427955,913,0,913,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.4785514,914,0,914,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.529098,915,0,915,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.5794358,916,0,916,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.6297984,917,0,917,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.6802046,918,0,918,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.7306833,919,0,919,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.781177,920,0,920,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.8315198,921,0,921,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.8817992,922,0,922,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.9322345,923,0,923,0,idle
"[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]","[-0.003420845333908886, 0.5237384019384584, -0.5233544295030197, 0.07607890209443283, 0.38943531599749476, 0.12278391287780109, 0.05600000000000001]",0.0,0.0,1779641530.982625,924,0,924,0,idle
