dt,j1,j2,j3,j4,j5,j6,gripper_m
6.7486,0.009495,0.711641,-0.921063,-0.041853,0.65785,0.331944,0.0
6.7989,0.009495,0.746477,-0.929248,-0.041853,0.684274,0.331944,0.0
6.8493,0.009495,0.780965,-0.929248,-0.041853,0.699284,0.331944,0.0
6.8995,0.009495,0.812747,-0.929248,-0.041853,0.726615,0.331944,0.0
6.9498,0.009495,0.838893,-0.929248,-0.041853,0.760597,0.331944,0.0
7.0003,0.009495,0.868284,-0.929248,-0.041853,0.816866,0.331944,0.0
7.0505,0.009495,0.895302,-0.929248,-0.047176,0.889472,0.331944,0.0
7.1009,0.009495,0.925112,-0.930994,-0.066305,0.975901,0.331944,0.0
7.1511,0.009495,0.945794,-0.930994,-0.082781,1.030146,0.331944,0.0
7.2015,0.009495,0.970089,-0.930994,-0.103446,1.081807,0.331944,0.0
7.2516,0.009495,0.989671,-0.930994,-0.120428,1.10228,0.331944,0.0
7.302,0.009495,1.014682,-0.930994,-0.132924,1.112386,0.331944,0.0
7.3525,0.009495,1.032886,-0.930994,-0.135193,1.112386,0.331944,0.0
7.4029,0.009495,1.059712,-0.930994,-0.13844,1.112386,0.331944,0.0
7.4533,0.009495,1.086398,-0.930994,-0.145805,1.114148,0.331944,0.0
7.5038,0.009495,1.11537,-0.930994,-0.146136,1.114148,0.331944,0.0
7.5545,0.009495,1.146123,-0.930994,-0.146136,1.114148,0.331944,0.0
7.6047,0.009495,1.182967,-0.930994,-0.146136,1.114148,0.331944,0.0
7.655,0.009495,1.215831,-0.930994,-0.146136,1.114148,0.331944,0.0
7.7053,0.009495,1.249342,-0.930994,-0.146136,1.114148,0.331944,0.0
7.7557,0.009495,1.282625,-0.928917,-0.146136,1.111897,0.331944,0.0
7.806,0.009495,1.322785,-0.928917,-0.146136,1.114393,0.331944,0.0
7.8562,0.009495,1.35942,-0.928917,-0.147917,1.114393,0.331944,0.0
7.9066,0.009495,1.397154,-0.928917,-0.147829,1.114393,0.331944,0.0
7.9567,0.009495,1.43569,-0.928917,-0.147829,1.114393,0.331944,0.0
8.007,0.009495,1.47784,-0.928917,-0.147829,1.110431,0.331944,0.0
8.0571,0.009495,1.511612,-0.928917,-0.147829,1.09673,0.331944,0.0
8.1074,0.009495,1.540916,-0.928917,-0.147829,1.073325,0.331944,0.0
8.1578,0.009495,1.566328,-0.928917,-0.147829,1.046377,0.331944,0.0
8.208,0.009495,1.588058,-0.928917,-0.147829,1.021524,0.331944,0.0
8.2584,0.009495,1.606296,-0.928917,-0.149749,0.989462,0.331944,0.0
8.3088,0.009495,1.620468,-0.928917,-0.151111,0.968553,0.331944,0.0
8.3592,0.009495,1.632808,-0.928917,-0.154444,0.962025,0.331944,0.0
8.4096,0.009495,1.639143,-0.928917,-0.15612,0.962025,0.331944,0.0
8.4601,0.009495,1.646456,-0.928917,-0.158476,0.962025,0.331944,0.0
8.5105,0.009495,1.653857,-0.928917,-0.172264,0.962025,0.331944,0.0
8.561,0.009495,1.664852,-0.928917,-0.180624,0.960106,0.331944,0.0
8.6113,0.009495,1.672828,-0.923035,-0.180799,0.956912,0.331944,0.0
8.6616,0.009495,1.684295,-0.911463,-0.195861,0.942897,0.331944,0.0
8.7119,0.009495,1.690858,-0.890746,-0.22232,0.911254,0.331944,0.0
8.7622,0.009495,1.692271,-0.869558,-0.242548,0.875335,0.331944,0.0
8.8126,0.009495,1.692271,-0.85001,-0.259705,0.840289,0.331944,0.0
8.8628,0.009495,1.692271,-0.832993,-0.26454,0.808053,0.331944,0.0
8.9131,0.009495,1.692271,-0.819345,-0.26454,0.779796,0.331944,0.0
8.9635,0.009495,1.692271,-0.80718,-0.26454,0.747507,0.331944,0.0
9.0138,0.009495,1.692271,-0.798698,-0.26454,0.719564,0.331944,0.0
9.0643,0.009495,1.693092,-0.791594,-0.26454,0.697626,0.331944,0.0
9.1147,0.009495,1.693092,-0.786864,-0.26454,0.676385,0.331944,0.0
9.1651,0.009495,1.693092,-0.784875,-0.26454,0.671376,0.331944,0.0
9.2153,0.009495,1.693092,-0.784875,-0.26454,0.671376,0.331944,0.0
9.2657,0.009495,1.693092,-0.784875,-0.26454,0.671376,0.331944,0.0
9.316,0.009495,1.693092,-0.782658,-0.26454,0.669753,0.331944,0.0
9.3663,0.009495,1.69475,-0.782658,-0.26454,0.669753,0.331944,0.0
9.4166,0.009495,1.697472,-0.782658,-0.26454,0.669753,0.331944,0.0
9.4671,0.009495,1.705745,-0.782658,-0.26454,0.669753,0.331944,0.0
9.5173,0.009495,1.711959,-0.782658,-0.26454,0.669753,0.331944,0.0
9.5676,0.009495,1.722134,-0.782658,-0.26454,0.669753,0.331944,0.0
9.618,0.009495,1.72182,-0.782658,-0.26454,0.669491,0.331944,0.0
9.6685,0.009495,1.72182,-0.782658,-0.26454,0.669491,0.331944,0.0
9.7188,0.009495,1.72182,-0.782658,-0.26454,0.669491,0.331944,0.0
9.7693,0.009495,1.72182,-0.782658,-0.26454,0.669491,0.331944,0.0
9.8196,0.009495,1.72182,-0.782658,-0.254312,0.669491,0.331944,0.0
9.8702,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
9.9206,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
9.9709,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.0213,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.0716,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.1218,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.1721,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.2225,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.2728,0.009495,1.72182,-0.782658,-0.252043,0.669491,0.331944,0.0
10.3231,0.009495,1.72182,-0.782658,-0.253876,0.669491,0.331944,0.0
10.3735,0.009495,1.72182,-0.782658,-0.253876,0.669491,0.331944,0.0
10.4238,0.009495,1.72182,-0.782658,-0.253876,0.669491,0.331944,0.0
10.4742,0.009495,1.72182,-0.782658,-0.260438,0.669491,0.331944,0.0
10.5245,0.009495,1.72182,-0.782658,-0.260316,0.669491,0.331944,0.0
10.5748,0.009495,1.72182,-0.782658,-0.260316,0.669491,0.331944,0.0
10.6252,0.009495,1.72182,-0.782658,-0.260316,0.669491,0.331944,0.0
10.6756,0.009495,1.72182,-0.782658,-0.260316,0.669491,0.331944,0.0
10.7257,0.009495,1.72182,-0.782658,-0.260316,0.669491,0.331944,0.0
10.776,0.009495,1.72182,-0.782658,-0.258326,0.669491,0.331944,0.0
10.8264,0.009495,1.72182,-0.782658,-0.256546,0.669491,0.331944,0.0
10.8767,0.009495,1.72182,-0.782658,-0.256546,0.669491,0.331944,0.0
10.9268,0.009495,1.72182,-0.782658,-0.256546,0.671446,0.331944,0.0
10.9771,0.009495,1.72182,-0.782658,-0.256546,0.681272,0.331944,0.0
11.0274,0.009495,1.72182,-0.782658,-0.256546,0.690906,0.331944,0.0
11.0779,0.009495,1.72182,-0.782658,-0.256546,0.699702,0.331944,0.0
11.1283,0.009495,1.72182,-0.782658,-0.256546,0.703926,0.331944,0.0
11.1784,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.2287,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.2791,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.3293,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.3798,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.4301,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.4805,0.009495,1.72182,-0.782658,-0.256546,0.705096,0.331944,0.0
11.5307,0.009495,1.72182,-0.782658,-0.259251,0.706003,0.331944,0.0
11.5811,0.009495,1.72182,-0.782658,-0.265098,0.707644,0.331944,0.0
11.6314,0.009495,1.72182,-0.782658,-0.276722,0.709913,0.331944,0.0
11.6817,0.009495,1.72182,-0.782658,-0.278467,0.709913,0.331944,0.0
11.7321,0.009495,1.72182,-0.782658,-0.278467,0.709913,0.331944,0.0
11.7827,0.009495,1.72182,-0.782658,-0.278467,0.709913,0.331944,0.0
11.8328,0.009495,1.72182,-0.782658,-0.278467,0.709913,0.331944,0.0
11.8831,0.009495,1.72182,-0.782658,-0.278467,0.711239,0.331944,0.0
11.9337,0.009495,1.72182,-0.782658,-0.278467,0.711239,0.331944,0.0
11.9841,0.009495,1.72182,-0.782658,-0.278467,0.712112,0.331944,0.0
12.0343,0.009495,1.72182,-0.782658,-0.278467,0.712112,0.331944,0.0
12.0847,0.009495,1.72182,-0.782658,-0.278467,0.712112,0.331944,0.0
12.1351,0.009495,1.72182,-0.782658,-0.278467,0.712112,0.331944,0.0
12.1854,0.009495,1.72182,-0.782658,-0.278467,0.714032,0.331944,0.0
12.236,0.009495,1.72182,-0.782658,-0.278467,0.713717,0.331944,0.0
12.286,0.009495,1.72182,-0.782658,-0.278467,0.713717,0.331944,0.0
