timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-23T21:37:08.395,robot/gripper,g 0.53,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.462,robot/gripper,g 0.7,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.534,robot/gripper,g 0.74,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.675,robot/gripper,g 0.65,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.677,robot/gripper,g 0.47,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.741,robot/gripper,g 0.15,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.833,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.914,robot/gripper,g 0.01,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:08.986,robot/gripper,g 0.01,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.059,robot/gripper,g 0.26,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.063,robot/gripper,g 0.28,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.362,robot/gripper,g 0.28,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.365,robot/gripper,g 0.24,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.367,robot/gripper,g 0.22,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.452,robot/gripper,g 0.18,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.520,robot/gripper,g 0.16,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:09.636,robot/gripper,g 0.16,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:47.740,robot/drive,"{""linear"":0.1,""angular"":-0.08}",,,,,,,,,,,,,0.1,-0.08,,drive_cmd
2026-05-23T21:37:47.798,robot/drive,"{""linear"":0.15,""angular"":-0.08}",,,,,,,,,,,,,0.15,-0.08,,drive_cmd
2026-05-23T21:37:48.056,robot/drive,"{""linear"":1,""angular"":-0.07}",,,,,,,,,,,,,1.0,-0.07,,drive_cmd
2026-05-23T21:37:48.122,robot/drive,"{""linear"":1,""angular"":-0.06}",,,,,,,,,,,,,1.0,-0.06,,drive_cmd
2026-05-23T21:37:48.224,robot/drive,"{""linear"":1,""angular"":-0.02}",,,,,,,,,,,,,1.0,-0.02,,drive_cmd
2026-05-23T21:37:48.284,robot/drive,"{""linear"":1,""angular"":0.01}",,,,,,,,,,,,,1.0,0.01,,drive_cmd
2026-05-23T21:37:48.345,robot/drive,"{""linear"":1,""angular"":0.03}",,,,,,,,,,,,,1.0,0.03,,drive_cmd
2026-05-23T21:37:48.846,robot/drive,"{""linear"":1,""angular"":0.04}",,,,,,,,,,,,,1.0,0.04,,drive_cmd
2026-05-23T21:37:48.953,robot/drive,"{""linear"":1,""angular"":-0.02}",,,,,,,,,,,,,1.0,-0.02,,drive_cmd
2026-05-23T21:37:49.058,robot/drive,"{""linear"":1,""angular"":-0.03}",,,,,,,,,,,,,1.0,-0.03,,drive_cmd
2026-05-23T21:37:49.148,robot/drive,"{""linear"":-1,""angular"":-0.07}",,,,,,,,,,,,,-1.0,-0.07,,drive_cmd
2026-05-23T21:37:49.232,robot/drive,"{""linear"":-1,""angular"":-0.06}",,,,,,,,,,,,,-1.0,-0.06,,drive_cmd
2026-05-23T21:37:49.471,robot/drive,"{""linear"":-1,""angular"":-0.07}",,,,,,,,,,,,,-1.0,-0.07,,drive_cmd
2026-05-23T21:37:49.676,robot/drive,"{""linear"":-0.9,""angular"":-0.08}",,,,,,,,,,,,,-0.9,-0.08,,drive_cmd
2026-05-23T21:37:49.764,robot/drive,"{""linear"":0.05,""angular"":-0.08}",,,,,,,,,,,,,0.05,-0.08,,drive_cmd
2026-05-23T21:37:49.854,robot/drive,"{""linear"":1,""angular"":-0.04}",,,,,,,,,,,,,1.0,-0.04,,drive_cmd
2026-05-23T21:37:50.468,robot/drive,"{""linear"":1,""angular"":-0.03}",,,,,,,,,,,,,1.0,-0.03,,drive_cmd
2026-05-23T21:37:50.538,robot/drive,"{""linear"":1,""angular"":-0.04}",,,,,,,,,,,,,1.0,-0.04,,drive_cmd
2026-05-23T21:37:50.622,robot/drive,"{""linear"":1,""angular"":-0.06}",,,,,,,,,,,,,1.0,-0.06,,drive_cmd
2026-05-23T21:37:51.083,robot/drive,"{""linear"":1,""angular"":-0.05}",,,,,,,,,,,,,1.0,-0.05,,drive_cmd
2026-05-23T21:37:51.809,robot/drive,"{""linear"":0,""angular"":0}",,,,,,,,,,,,,0.0,0.0,,drive_cmd
2026-05-23T21:38:32.365,system,,,,,,,,,,,,,,,,,shutdown
2026-05-23T21:45:14.583,system,,,,,,,,,,,arm_initialized
2026-05-23T21:45:39.113,system,,,,,,,,,,,shutdown
2026-05-23T21:49:37.109,system,,,,,,,,,,,arm_initialized
2026-05-23T21:49:54.327,system,,,,,,,,,,,shutdown
2026-05-23T21:53:51.349,system,,,,,,,,,,,arm_initialized
2026-05-23T21:53:52.033,system,,,,,,,,,,,shutdown
2026-05-23T21:54:45.063,system,,,,,,,,,,,arm_initialized
2026-05-23T21:54:46.099,system,,,,,,,,,,,shutdown
2026-05-24T09:22:21.928,system,,,,,,,,,,,arm_initialized
2026-05-24T09:25:35.228,robot/gripper,g 0.03,,,,,,,,,0.03,gripper_cmd
2026-05-24T09:25:35.230,robot/gripper,g 0.16,,,,,,,,,0.16,gripper_cmd
2026-05-24T09:25:35.233,robot/gripper,g 0.58,,,,,,,,,0.58,gripper_cmd
2026-05-24T09:25:35.235,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
2026-05-24T09:25:35.237,robot/gripper,g 0.91,,,,,,,,,0.91,gripper_cmd
2026-05-24T09:25:35.239,robot/gripper,g 0.91,,,,,,,,,0.91,gripper_cmd
2026-05-24T09:25:35.240,robot/gripper,g 0.91,,,,,,,,,0.91,gripper_cmd
2026-05-24T09:25:35.242,robot/gripper,g 0.89,,,,,,,,,0.89,gripper_cmd
